0, 295, 12, 0, 409, 0, 0, 1152, 50;
0, 293, 11, 20, 403, -6, -1, 1144, 43;
4, 296, 14, 58, 412, 4, 18, 1157, 56;
4, 294, 12, 79, 404, -1, 18, 1149, 49;
6, 294, 12, 106, 401, -1, 25, 1148, 49;
8, 294, 13, 134, 399, 0, 34, 1149, 51;
10, 294, 13, 161, 394, 1, 41, 1148, 52;
15, 297, 16, 196, 398, 11, 59, 1158, 64;
12, 292, 12, 209, 379, -1, 50, 1140, 48;
15, 292, 13, 237, 374, 1, 60, 1140, 52;
20, 295, 16, 272, 377, 12, 80, 1151, 66;
19, 291, 14, 288, 359, 3, 75, 1137, 55;
19, 289, 12, 307, 345, 0, 75, 1128, 50;
20, 287, 12, 326, 332, -3, 78, 1121, 47;
20, 285, 11, 346, 318, -5, 80, 1113, 44;
21, 284, 10, 366, 305, -6, 84, 1108, 42;
28, 288, 16, 403, 309, 10, 111, 1125, 64;
26, 284, 13, 413, 286, 1, 104, 1108, 53;
26, 281, 12, 428, 268, -2, 104, 1098, 48;
29, 281, 13, 449, 258, 2, 114, 1098, 53;
27, 277, 10, 457, 233, -7, 106, 1081, 42;
32, 280, 15, 486, 231, 6, 127, 1092, 59;
28, 273, 9, 483, 198, -10, 110, 1065, 38;
29, 272, 10, 499, 184, -7, 116, 1062, 41;
30, 270, 10, 509, 165, -9, 117, 1053, 39;
31, 269, 11, 524, 150, -5, 124, 1051, 43;
37, 272, 16, 549, 148, 9, 146, 1063, 63;
36, 269, 14, 553, 125, 4, 142, 1050, 56;
31, 262, 9, 543, 89, -12, 122, 1022, 35;
32, 261, 9, 551, 72, -10, 126, 1018, 38;
32, 259, 9, 556, 53, -10, 127, 1010, 37;
38, 262, 15, 576, 51, 6, 149, 1024, 58;
38, 261, 15, 580, 33, 7, 151, 1019, 60;
38, 258, 14, 579, 12, 5, 150, 1009, 58;
36, 255, 12, 573, -13, 0, 142, 994, 50;
37, 254, 13, 574, -29, 2, 145, 991, 54;
33, 248, 10, 560, -60, -9, 130, 969, 39;
34, 247, 11, 559, -76, -6, 132, 966, 43;
35, 248, 13, 560, -88, 0, 140, 967, 51;
36, 247, 14, 557, -104, 4, 142, 964, 55;
35, 244, 13, 546, -125, 1, 137, 954, 52;
36, 244, 15, 543, -138, 6, 141, 953, 58;
33, 240, 12, 525, -163, -1, 129, 937, 49;
35, 241, 15, 522, -173, 7, 136, 941, 59;
28, 234, 9, 492, -207, -10, 112, 913, 38;
34, 239, 16, 498, -204, 9, 133, 932, 63;
31, 235, 14, 478, -226, 4, 123, 919, 56;
30, 234, 14, 463, -241, 4, 120, 914, 57;
30, 233, 15, 449, -253, 7, 119, 911, 60;
26, 229, 12, 422, -277, -2, 102, 894, 48;
22, 224, 9, 393, -301, -11, 86, 877, 36;
22, 224, 10, 378, -311, -7, 86, 877, 41;
20, 223, 10, 357, -323, -7, 81, 872, 41;
21, 224, 12, 343, -328, 0, 85, 877, 50;
18, 222, 11, 317, -344, -5, 73, 866, 44;
16, 219, 10, 290, -359, -9, 62, 857, 39;
16, 221, 12, 273, -362, -3, 64, 862, 47;
12, 217, 9, 241, -379, -11, 48, 848, 37;
18, 224, 16, 239, -364, 11, 70, 873, 65;
12, 219, 12, 201, -384, -1, 48, 855, 49;
10, 218, 12, 175, -391, -1, 42, 852, 48;
8, 217, 11, 147, -399, -3, 32, 847, 46;
10, 220, 15, 132, -392, 7, 40, 860, 60;
7, 218, 14, 101, -400, 3, 28, 853, 54;
3, 216, 11, 67, -410, -3, 12, 843, 46;
3, 218, 14, 48, -405, 3, 15, 851, 54;
-2, 213, 9, 7, -420, -10, -8, 834, 37;
-2, 215, 10, -15, -416, -6, -10, 838, 42;
1, 221, 16, -24, -397, 11, 5, 862, 65;
0, 220, 16, -52, -396, 10, -2, 861, 64;
-6, 217, 12, -91, -406, -1, -24, 847, 49;
-8, 217, 12, -118, -403, -2, -32, 847, 47;
-5, 222, 16, -130, -384, 12, -20, 866, 66;
-13, 216, 10, -177, -400, -8, -53, 842, 39;
-16, 215, 9, -206, -397, -11, -62, 841, 36;
-14, 219, 12, -221, -380, -1, -56, 856, 48;
-13, 223, 15, -236, -363, 7, -51, 871, 60;
-19, 219, 11, -274, -368, -6, -74, 857, 43;
-17, 223, 14, -288, -348, 3, -67, 873, 55;
-22, 221, 10, -322, -349, -7, -87, 863, 42;
-21, 224, 13, -336, -330, 0, -82, 877, 51;
-23, 225, 12, -359, -320, 0, -90, 879, 49;
-22, 228, 15, -373, -301, 6, -86, 893, 58;
-29, 224, 9, -411, -306, -11, -113, 875, 36;
-24, 231, 15, -411, -273, 7, -95, 904, 59;
-24, 234, 16, -426, -256, 9, -96, 912, 62;
-31, 230, 10, -460, -258, -6, -121, 897, 42;
-31, 232, 11, -474, -240, -4, -122, 906, 45;
-27, 238, 16, -473, -208, 11, -106, 931, 64;
-32, 236, 12, -500, -204, -1, -126, 922, 48;
-32, 238, 13, -510, -184, 1, -125, 932, 52;
-34, 238, 11, -527, -172, -4, -135, 931, 45;
-35, 240, 11, -537, -155, -4, -137, 938, 45;
-34, 243, 13, -542, -132, 0, -134, 950, 51;
-31, 249, 16, -539, -102, 11, -122, 972, 65;
-34, 248, 14, -554, -92, 3, -134, 968, 55;
-38, 246, 10, -570, -83, -6, -148, 962, 42;
-33, 253, 15, -560, -49, 7, -131, 988, 60;
-36, 252, 13, -570, -38, 0, -141, 985, 51;
-36, 254, 13, -572, -18, 1, -141, 994, 52;
-36, 256, 13, -573, 0, 0, -142, 1000, 51;
-38, 256, 10, -579, 12, -6, -151, 998, 42;
-39, 257, 10, -580, 29, -8, -153, 1003, 40;
-39, 258, 10, -577, 48, -9, -153, 1009, 39;
-35, 264, 13, -562, 78, 1, -138, 1030, 52;
-36, 264, 11, -561, 92, -3, -143, 1031, 46;
-32, 269, 15, -543, 121, 7, -128, 1051, 59;
-35, 267, 11, -547, 128, -4, -140, 1044, 45;
-35, 269, 11, -537, 146, -4, -137, 1051, 45;
-36, 269, 9, -533, 157, -10, -143, 1049, 37;
-35, 271, 9, -521, 176, -9, -139, 1057, 38;
-33, 274, 11, -503, 198, -4, -130, 1069, 44;
-28, 279, 15, -477, 226, 7, -111, 1090, 59;
-28, 280, 14, -463, 241, 5, -109, 1094, 57;
-29, 279, 12, -456, 247, -3, -116, 1089, 46;
-26, 283, 14, -432, 270, 4, -103, 1104, 55;
-29, 280, 10, -427, 271, -9, -115, 1092, 39;
-27, 282, 10, -406, 287, -7, -108, 1100, 41;
-23, 286, 13, -378, 308, 1, -93, 1116, 52;
-26, 283, 9, -369, 309, -10, -101, 1106, 38;
-24, 285, 10, -345, 322, -8, -94, 1112, 40;
-18, 290, 14, -310, 347, 4, -72, 1133, 57;
-20, 288, 11, -296, 348, -4, -78, 1126, 45;
-19, 289, 11, -274, 356, -6, -74, 1127, 43;
-11, 295, 16, -232, 382, 12, -45, 1153, 66;
-15, 290, 11, -224, 373, -5, -61, 1134, 44;
-15, 290, 9, -204, 375, -9, -60, 1131, 38;
-12, 292, 11, -173, 387, -4, -47, 1140, 45;
-9, 293, 12, -144, 394, -2, -38, 1145, 48;
-6, 295, 14, -112, 404, 3, -24, 1154, 55;
-3, 296, 14, -84, 410, 5, -15, 1157, 57;
-2, 296, 14, -58, 411, 4, -10, 1157, 56;
-2, 295, 13, -36, 408, 0, -9, 1152, 50;
-3, 292, 9, -18, 399, -9, -14, 1140, 38;
0, 294, 11, 13, 404, -4, -1, 1146, 44;
1, 293, 11, 40, 403, -4, 5, 1146, 44;
